channel,status,latitude,longitude,elevation
180,good,-43.86352246195451,169.04396091058453,
181,good,-43.86355621320489,169.04398107578723,
182,good,-43.863589479738486,169.0440025665567,
183,good,-43.86362274627208,169.04402405732623,
184,good,-43.86365601280568,169.0440455480957,
185,good,-43.86368927933928,169.0440670388652,
186,good,-43.86372254587288,169.04408852963468,
187,good,-43.86375581240648,169.0441100204042,
188,good,-43.86378907894007,169.04413151117367,
189,good,-43.86382234547367,169.04415300194316,
190,good,-43.86385561200727,169.04417449271267,
191,good,-43.86388887854087,169.04419598348215,
192,good,-43.86392186895684,169.04421839831198,
193,good,-43.8639548307814,169.04424090882634,
194,good,-43.863987792605975,169.04426341934067,
195,good,-43.86402076378771,169.04428596728246,
196,good,-43.86405377921088,169.0443086921841,
197,good,-43.86408679463405,169.04433141708577,
198,good,-43.86411981005721,169.04435414198744,
199,good,-43.86415282548038,169.04437686688908,
200,good,-43.86418581356431,169.04439948243416,
201,good,-43.86421877539079,169.04442199294982,
202,good,-43.86425173721727,169.04444450346546,
203,good,-43.86428469904376,169.04446701398112,
204,good,-43.86431759132835,169.0444895244966,
205,good,-43.86435046382709,169.04451203501205,
206,good,-43.86438333632583,169.04453454552748,
207,good,-43.864416208824565,169.04455705604292,
208,good,-43.86444908132331,169.04457956655835,
209,good,-43.86448197000096,169.04460207707382,
210,good,-43.86451493182744,169.04462458758948,
211,good,-43.86454789365392,169.04464709810512,
212,good,-43.864580855480405,169.04466960862075,
213,good,-43.8646136165308,169.04469179789427,
214,good,-43.86464613172103,169.04471359379102,
215,good,-43.86467864691126,169.0447353896878,
216,good,-43.864711970760816,169.0447571746844,
217,good,-43.86474572844164,169.04477895383332,
218,good,-43.86477948612246,169.04480073298225,
219,good,-43.86481324380328,169.04482251213116,
220,good,-43.86484657916313,169.04484401881493,
221,good,-43.8648799048459,169.0448655192554,
222,good,-43.8649132305283,169.0448869861982,
223,good,-43.8649465562091,169.04490830746713,
224,good,-43.86497988188989,169.044929628736,
225,good,-43.86501320757069,169.0449509500049,
226,good,-43.86504653325149,169.04497227127382,
227,good,-43.86507985893228,169.0449935925427,
228,good,-43.86511318461269,169.04501502233077,
229,good,-43.86514651029284,169.04503652276958,
230,good,-43.86517983597299,169.04505802320838,
231,good,-43.86521316165473,169.0450793776178,
232,good,-43.86524648733684,169.04510069888755,
233,good,-43.86527981301895,169.0451220201573,
234,good,-43.865313138701055,169.04514334142704,
235,good,-43.865346464383165,169.04516466269678,
236,good,-43.86537979006512,169.0451860258485,
237,good,-43.86541311574658,169.04520752628812,
238,good,-43.86544650831719,169.04522895983823,
239,good,-43.86548001316832,169.04525028110712,
240,good,-43.86551351801944,169.045271602376,
241,good,-43.86554702287056,169.0452929236449,
242,good,-43.86558052772168,169.0453142449138,
243,good,-43.8656140325728,169.0453355661827,
244,good,-43.86564739551372,169.04535685907007,
245,good,-43.865680721195965,169.0453781445058,
246,good,-43.86571404687822,169.04539942994157,
247,good,-43.86574737256046,169.04542071537733,
248,good,-43.86578069824246,169.04544203112417,
249,good,-43.86581402392293,169.04546353156317,
250,good,-43.86584734960339,169.0454850320022,
251,good,-43.86588067528386,169.0455065324412,
252,good,-43.8659140009653,169.04552803288084,
253,good,-43.86594732664807,169.04554953332135,
254,good,-43.86598065233084,169.04557103376183,
255,good,-43.86601393476522,169.04559265310775,
256,good,-43.866047191743576,169.04561434244147,
257,good,-43.86608044872193,169.0456360317752,
258,good,-43.866113705700286,169.04565772110888,
259,good,-43.86614696267864,169.0456794104426,
260,good,-43.8661802128199,169.0457011183428,
261,good,-43.86621339917546,169.04572299945636,
262,good,-43.86624658553102,169.0457448805699,
263,good,-43.86627962884949,169.04576681611195,
264,good,-43.866312411966405,169.04578885066596,
265,good,-43.866345460575495,169.04581079672158,
266,good,-43.86637878111856,169.04583265213154,
267,good,-43.86641210166163,169.0458545075415,
268,good,-43.866444666651056,169.0458757333232,
269,good,-43.86647691233982,169.04589669302086,
270,good,-43.8665110429708,169.04591843998145,
271,good,-43.866545468005725,169.04594039299437,
272,good,-43.86657610790365,169.0459661219679,
273,good,-43.86660674780158,169.0459918509414,
274,good,-43.86663738769951,169.04601757991492,
275,good,-43.86666802759744,169.04604330888844,
276,good,-43.86669866749537,169.04606903786197,
277,good,-43.8667293073933,169.04609476683547,
278,good,-43.86675994729123,169.046120495809,
279,good,-43.86679058718915,169.04614622478252,
280,good,-43.866832,169.046181,
281,good,-43.86685403126879,169.0461684862393,
282,good,-43.866888009037766,169.04614918686653,
283,good,-43.86692198680674,169.04612988749378,
284,good,-43.86695596457572,169.046110588121,
285,good,-43.86698702237785,169.0460837566627,
286,good,-43.8670179884013,169.0460566884604,
287,good,-43.86704895442475,169.04602962025808,
288,good,-43.86707992044821,169.04600255205577,
289,good,-43.86711051338203,169.0459747891613,
290,good,-43.8671404181707,169.04594574494212,
291,good,-43.86717032295937,169.04591670072293,
292,good,-43.86720022774804,169.0458876565037,
293,good,-43.86723013253671,169.0458586122845,
294,good,-43.86725952247864,169.0458276590739,
295,good,-43.86728869540702,169.0457959012025,
296,good,-43.8673178683354,169.0457641433311,
297,good,-43.86734704126378,169.0457323854597,
298,good,-43.86737621419216,169.0457006275883,
299,good,-43.86740492618441,169.0456684638094,
300,good,-43.86743249583832,169.0456352940695,
301,good,-43.86746006549223,169.04560212432966,
302,good,-43.86748763514613,169.0455689545898,
303,good,-43.86751520480004,169.04553578484996,
304,good,-43.8675422430676,169.04550142980582,
305,good,-43.86756898849716,169.04546642156063,
306,good,-43.86759573392671,169.04543141331544,
307,good,-43.86762247935627,169.04539640507025,
308,good,-43.86764921219966,169.0453613870732,
309,good,-43.86767568278732,169.04532616587804,
310,good,-43.867702153374985,169.04529094468288,
311,good,-43.86772862396265,169.0452557234877,
312,good,-43.867755094550304,169.04522050229255,
313,good,-43.867781894718085,169.04518583862,
314,good,-43.867809059622,169.04515179194044,
315,good,-43.8678362245259,169.04511774526088,
316,good,-43.86786338942981,169.04508369858132,
317,good,-43.86789055433371,169.04504965190176,
318,good,-43.86791771923762,169.0450156052222,
319,good,-43.86794591301204,169.04498309344424,
320,good,-43.86797415769559,169.04495065761412,
321,good,-43.86800240237912,169.04491822178397,
322,good,-43.86803064706266,169.04488578595385,
323,good,-43.8680588917462,169.04485335012373,
324,good,-43.868087934509866,169.0448221672019,
325,good,-43.868117895148295,169.04479242525426,
326,good,-43.86814785578672,169.04476268330663,
327,good,-43.868177816425145,169.04473294135897,
328,good,-43.86820777706357,169.04470319941134,
329,good,-43.86823859912259,169.04467667679782,
330,good,-43.8682695250164,169.04465054223965,
331,good,-43.86830045091021,169.0446244076815,
332,good,-43.86833137680403,169.04459827312337,
333,good,-43.86836292305891,169.044573177897,
334,good,-43.86839591128141,169.04455049849403,
335,good,-43.868428899503904,169.04452781909106,
336,good,-43.8684618877264,169.04450513968808,
337,good,-43.868494875948905,169.0444824602851,
338,good,-43.8685278641714,169.04445978088216,
339,good,-43.8685621474586,169.04444100057356,
340,good,-43.86859647692668,169.04442235930324,
341,good,-43.86863080639475,169.04440371803295,
342,good,-43.86866513586283,169.04438507676264,
343,good,-43.8686994653309,169.04436643549235,
344,good,-43.86873417208032,169.04434976659127,
345,good,-43.86876919066819,169.0443347279339,
346,good,-43.86880420925606,169.0443196892765,
347,good,-43.86883922784393,169.04430465061915,
348,good,-43.8688742464318,169.0442896119618,
349,good,-43.86890961261661,169.04427620669225,
350,good,-43.868945020532685,169.04426299752149,
351,good,-43.86898042844876,169.04424978835073,
352,good,-43.86901583636484,169.04423657917997,
353,good,-43.86905124428091,169.0442233700092,
354,good,-43.86908637940351,169.04420921983288,
355,good,-43.869121170214605,169.04419388194842,
356,good,-43.8691559610257,169.04417854406395,
357,good,-43.8691907518368,169.0441632061795,
358,good,-43.8692255426479,169.04414786829503,
359,good,-43.86926028041014,169.04413212041365,
360,good,-43.86929451755832,169.04411250345308,
361,good,-43.8693287547065,169.0440928864925,
362,good,-43.86936299185468,169.0440732695319,
363,good,-43.86939722900286,169.04405365257134,
364,good,-43.86943146615104,169.04403403561076,
365,good,-43.8694645225386,169.04401183976043,
366,good,-43.86949705419103,169.04398849784033,
367,good,-43.86952958584346,169.04396515592023,
368,good,-43.86956211749589,169.04394181400014,
369,good,-43.86959464914832,169.04391847208004,
370,good,-43.86962702797575,169.0438944234097,
371,good,-43.86965895190654,169.043868271037,
372,good,-43.86969087583732,169.04384211866434,
373,good,-43.8697227997681,169.04381596629167,
374,good,-43.86975472369888,169.043789813919,
375,good,-43.86978664762967,169.04376366154634,
376,good,-43.86981837774543,169.04373766794865,
377,good,-43.86985002755528,169.04371174013832,
378,good,-43.86988167736513,169.043685812328,
379,good,-43.86991332717498,169.04365988451767,
380,good,-43.86994497698483,169.04363395670734,
381,good,-43.86997660630439,169.04360802889695,
382,good,-43.87000807730243,169.04358210108606,
383,good,-43.87003954830047,169.04355617327516,
384,good,-43.87007101929851,169.0435302454643,
385,good,-43.87010249029655,169.0435043176534,
386,good,-43.87013396129459,169.04347838984253,
387,good,-43.87016552565757,169.04345236866664,
388,good,-43.87019717546743,169.04342626204382,
389,good,-43.87022882527727,169.043400155421,
390,good,-43.87026047508712,169.0433740487982,
391,good,-43.87029212489697,169.04334794217536,
392,good,-43.870323774706826,169.04332183555255,
393,good,-43.87035532477188,169.04329586192247,
394,good,-43.87038686729351,169.04326989835022,
395,good,-43.87041840981515,169.043243934778,
396,good,-43.870449952336784,169.04321797120576,
397,good,-43.8704814992612,169.043191957755,
398,good,-43.87051305813094,169.04316580897722,
399,good,-43.87054461700067,169.04313966019944,
400,good,-43.8705761758704,169.04311351142167,
401,good,-43.87060773474014,169.0430873626439,
402,good,-43.87063929360987,169.0430612138661,
403,good,-43.87067052100518,169.04303510306462,
404,good,-43.8707016221146,169.04300900673144,
405,good,-43.87073272322402,169.04298291039825,
406,good,-43.87076382433344,169.04295681406504,
407,good,-43.87079492544287,169.04293071773185,
408,good,-43.87082603146159,169.04290439043555,
409,good,-43.8708571704905,169.04287651014224,
410,good,-43.87088830951941,169.04284862984892,
411,good,-43.87091944854832,169.04282074955557,
412,good,-43.87095058757722,169.04279286926226,
413,good,-43.870981726606125,169.04276498896894,
414,good,-43.87101317613482,169.04273843993633,
415,good,-43.871044827665,169.0427127569804,
416,good,-43.87107647919519,169.04268707402449,
417,good,-43.87110813072537,169.04266139106855,
418,bad,,,
419,bad,,,
420,bad,,,
421,bad,,,
422,good,-43.87113978225555,169.04263570811264,
423,good,-43.871171502603175,169.04261018492517,
424,good,-43.87120404910839,169.04258657976754,
425,good,-43.87123659561361,169.04256297460992,
426,good,-43.87126914211883,169.04253936945227,
427,good,-43.87130168862405,169.04251576429465,
428,good,-43.87133423512926,169.04249215913703,
429,good,-43.87136665088845,169.04246863343295,
430,good,-43.87139892775579,169.04244519213267,
431,good,-43.871431204623136,169.04242175083235,
432,good,-43.87146348149049,169.04239830953205,
433,good,-43.87149575835783,169.04237486823175,
434,good,-43.871528035225175,169.04235142693145,
435,good,-43.8715612605452,169.04232830552328,
436,good,-43.87159454734221,169.04230520484995,
437,good,-43.87162783413922,169.04228210417662,
438,good,-43.871661120936224,169.0422590035033,
439,good,-43.87169440773323,169.04223590282996,
440,good,-43.8717274928644,169.0422132562098,
441,good,-43.8717603228377,169.04219118408088,
442,good,-43.871793152810994,169.04216911195192,
443,good,-43.87182598278429,169.042147039823,
444,good,-43.87185881275759,169.04212496769404,
445,good,-43.87189165688452,169.04210290477124,
446,good,-43.87192476971815,169.04208101662698,
447,good,-43.871957882551776,169.04205912848272,
448,good,-43.8719909953854,169.04203724033846,
449,good,-43.87202410821903,169.0420153521942,
450,good,-43.87205722105266,169.04199346404994,
451,good,-43.87209074039083,169.04197194890256,
452,good,-43.87212443009011,169.04195059007358,
453,good,-43.87215811978939,169.04192923124464,
454,good,-43.87219180948866,169.0419078724157,
455,good,-43.87222539962799,169.04188667022942,
456,good,-43.87225847939266,169.0418662710412,
457,good,-43.87229155915734,169.04184587185296,
458,good,-43.87232463892202,169.04182547266475,
459,good,-43.87235771868669,169.04180507347652,
460,good,-43.87239079845137,169.04178467428832,
461,good,-43.87242529739568,169.041766814867,
462,good,-43.87246034322551,169.04174993415316,
463,good,-43.87249538905534,169.04173305343932,
464,good,-43.87253043488517,169.04171617272547,
465,good,-43.872565480715,169.04169929201163,
466,good,-43.87260065817724,169.04168352065665,
467,good,-43.87263618825056,169.0416707210029,
468,good,-43.87267171832388,169.04165792134916,
469,good,-43.8727072483972,169.0416451216954,
470,good,-43.87274277847052,169.04163232204166,
471,good,-43.87277893503739,169.04162279677928,
472,good,-43.87281531119941,169.04161441923893,
473,good,-43.87285168736143,169.04160604169857,
474,good,-43.872888063523455,169.04159766415825,
475,good,-43.87292445069488,169.04159013886442,
476,good,-43.87296088068713,169.0415859283628,
477,good,-43.87299731067938,169.0415817178612,
478,good,-43.87303374067162,169.04157750735956,
479,good,-43.87307017066387,169.04157329685796,
480,good,-43.87310660065612,169.04156908635633,
481,good,-43.87314288600226,169.0415690019628,
482,good,-43.87317912105074,169.0415703523373,
483,good,-43.87321535609922,169.04157170271176,
484,good,-43.87325159114771,169.04157305308624,
485,good,-43.87328799751759,169.04157590773264,
